num,name,manufacturer,speed,glide,turn,fade,type
101,firebird,innova,9,3,0,4,distance
102,gator,innova,5,2,0,4,mid
103,groove,innova,12,6,-2,2,distance
104,invader,innova,3,2,0,1,putter
105,katana,innova,12,5,-3,3,distance
106,kc aviar,innova,2,3,0,2,putter
107,leopard,innova,6,5,-2,1,fairway
108,leopard3,innova,7,5,-2,1,fairway
109,lion,innova,5,4,0,2,mid
110,mako,innova,4,5,0,0,mid
111,mako3,innova,5,5,0,0,mid
112,nova,innova,2,3,0,0,putter
113,pig,innova,3,1,0,3,putter
114,polecat,innova,1,3,0,0,putter
115,rhyno,innova,2,1,0,3,putter
116,roadrunner,innova,9,5,-4,1,distance
117,roc,innova,4,4,0,3,mid
118,roc3,innova,5,4,0,3,mid
119,shark,innova,4,4,0,2,mid
120,shryke,innova,13,6,-2,2,distance
121,sidewinder,innova,9,5,-3,1,distance
122,teebird,innova,7,5,0,2,fairway
123,teebird3,innova,8,4,0,2,fairway
124,tern,innova,12,6,-3,2,distance
125,thunderbird,innova,9,5,0,2,distance
126,tl,innova,7,5,-1,1,fairway
127,tl3,innova,8,4,-1,1,fairway
128,valkyrie,innova,9,4,-2,2,distance
129,wraith,innova,11,5,-1,3,distance
130,xcaliber,innova,12,5,0,4,distance
131,yeti aviar,innova,2,3,0,1,putter
132,berg,kastaplast,1,1,0,2,putter
133,falk,kastaplast,9,6,-2,1,distance
134,gote,kastaplast,4,5,0,1,mid
135,grym,kastaplast,13,5,-1,2,distance
136,grym x,kastaplast,12,5,0,3,distance
137,kaxe,kastaplast,6,4,0,3,fairway
138,kaxe z,kastaplast,6,5,0,2,fairway
139,lots,kastaplast,9,5,-1,2,distance
140,rask,kastaplast,14,3,0,4,distance
141,reko,kastaplast,3,3,0,1,putter
142,stal,kastaplast,9,4,0,3,distance
143,svea,kastaplast,5,6,-1,0,mid
144,ballista,latitude64,14,5,-1,3,distance
145,ballista pro,latitude64,14,4,0,3,distance
146,claymore,latitude64,5,5,-1,1,mid
147,compass,latitude64,5,5,0,1,mid
148,dagger,latitude64,2,5,0,1,putter
149,diamond,latitude64,8,6,-3,1,fairway
150,explorer,latitude64,7,5,0,2,fairway
151,jade,latitude64,9,6,-2,1,distance
152,mercy,latitude64,2,4,0,1,putter
153,pure,latitude64,3,3,-1,1,putter
154,river,latitude64,7,7,-1,1,fairway
155,river pro,latitude64,6,5,0,2,fairway
156,sapphire,latitude64,10,6,-2,1.5,distance
157,stiletto,latitude64,13,3,0.5,5,distance
158,entropy,mvp,4,3,0,3,mid
159,ion,mvp,2.5,3,0,1.5,putter
160,nitro,mvp,13,4,-0.5,3,distance
161,nomad,mvp,2,4,0,1,putter
162,photon,mvp,11,5,-1.5,2.5,distance
163,reactor,mvp,5,5,-0.5,1.5,mid
164,signal,mvp,6,5,-3,1,fairway
165,volt,mvp,8,5,-0.5,2,fairway
166,wave,mvp,11,5,-2,2,distance
167,giant,westwide,13,5,1,4,distance
168,harp,westwide,4,3,0,3,mid
169,king,westwide,14,5,-1,4,distance
170,shield,westwide,3,3,0,1,putter
171,stag,westwide,8,6,0,3,fairway
172,swan 2,westwide,3,3,-1,0,putter
173,sword,westwide,12,5,0,2,distance
174,underworld,westwide,7,6,-3,1,fairway
175,warship,westwide,6,5,0,1,fairway
